IATA_code,name,city_name,country_code
DHF,Al Dhafra Air Base,Abu Dhabi,AE
QIW,Umm Al Quwain,Umm Al Quwain,AE
XNB,Travel Mall EY Bus Station,Dubai,AE
XSB,Yas Island,Pleurtuit,AE
ZDY,Delma Island,Delma Island,AE
ZVH,Al Ain Bus Station,Al Ain,AE
ZVJ,EK Bus Station,Abu Dhabi,AE
FJR,Fujairah,Fujairah,AE
DCG,Dubai Creek SPB,Dubai,AE
DWC,Dubai World Central - Al Maktoum Intl,Dubai,AE
DXB,Dubai Intl,Dubai,AE
NHD,Minhad Military Ar Base,Dubai,AE
ZJF,Jebel Ali Free Zone,Dubai,AE
DJH,Jabel Ali SPB,Dubai,AE
AUH,Abu Dhabi Intl,Abu Dhabi,AE
AAN,Al Ain,Al Ain,AE
SHJ,Sharjah,Sharjah,AE
RKT,Ras Al Khayman Intl,Ras al Khaimah,AE
OLR,Salerno,Salerno,AF
OAI,Bagram,Bagram,AF
KWH,Khwahan,Khwahan,AF
KHT,Khost,Khost,AF
KDH,Kandahar Intl ,Kandahar,AF
KBL,Kabul Intl,Kabul,AF
JAA,Jalalabad,Jalalabad,AF
SGA,Sheghnan,Sheghnan,AF
URN,Urgun,Urgun,AF
UND,UND,,AF
ZAJ,ZAJ,,AF
BIN,BIN,,AF
CCN,CCN,,AF
BST,BST,,AF
DAZ,Darwaz,Darwaz,AF
FBD,FBD,,AF
GZI,GZI,,AF
HEA,Herat Intl,Herat,AF
GRG,Gardez,Gardez,AF
DWR,Dwyer,Dwyer,AF
FAH,FAH,,AF
KUR,Razer,Kuran Wa Munjan,AF
LQN,Qalah-Ye Now,Qalah-Ye Now,AF
MMZ,Maimanah,Maimanah,AF
MZR,Mazar-I-Sharif,Mazar-I-Sharif,AF
OAA,Shank,Shank,AF
OAS,OAS,,AF
SBF,SBF,,AF
TII,Tarin Kot,Tarin Kot,AF
TQN,Taloqan,Taloqan,AF
URZ,Uruzgan,Uruzgan,AF
BBQ,BBQ,,AG
ANU,V.C. Bird Intl,Antigua,AG
AXA,Clayton J. Lloyd Intl,Anguilla,AI
TIA,Tirana,Tirana,AL
LWN,Shirak,Gyoumri,AM
EVN,Zvartnots Intl,Yerevan,AM
BON,Flamingo Intl,Bonaire,AN
CUR,Curacao Intl,Curacao,AN
SXM,St. Maarten,St Maarten,AN
SAB,J. Yrausquin,Saba,AN
SDD,Lubango,Lubango,AO
SVP,Kuito,Kuito,AO
SPP,Menongue,Menongue,AO
VHC,Saurimo,Saurimo,AO
VPE,Ngiva,Ondjiva,AO
XGN,Xangongo,Xangongo,AO
LUO,Luena,Luena,AO
MEG,Malanje,Malanje,AO
LAD,Quatro de Fevereiro,Luanda,AO
LBZ,Lucapa,Lucapa,AO
LLT,Lobito,Lobito,AO
KNP,Capanda,Capanda,AO
NOV,Huambo,Huambo,AO
NDD,Sumbe,Sumbe,AO
NDF,N'Dalatando Location,N'Dalatando Location,AO
MSZ,Namibe,Namibe,AO
PGI,Chitato,Chitato,AO
PBN,PBN,,AO
CAB,Cabinda,Cabinda,AO
CEO,CEO,,AO
JMB,Jamba,Jamba,AO
LZM,Luzamba,Luzamba,AO
SSY,M'Banza Congo,M'Banza Congo,AO
SZA,SZA,,AO
UAL,Luau,Luau,AO
UGO,Uige,Uige,AO
BUG,Gen V Deslandes,Benguela,AO
CBT,Catumbela,Catumbela,AO
CFF,Cafunfo,Cafunfo,AO
CAV,Cazombo,Cazombo,AO
AZZ,Ambriz,Ambriz,AO
ANL,Andulo,Andulo,AO
ARZ,ARZ,,AO
GGC,Lumbala N' Guimbo,Lumbala N' Guimbo,AO
GXG, Negage,Negage,AO
DUE,Dundo,Dundo,AO
DRC,Dirico,Dirico,AO
CNZ,Cangamba,Cangamba,AO
CTI,CTI,,AO
TNM,Teniente R  Marsh,Teniente R  Marsh,AQ
TTG,TTG,,AR
ULA,ULA,,AR
TUC,Tucuman,Tucuman,AR
UAQ,San Juan,San Juan,AR
VGS,General Villegas,General Villegas,AR
VCF,Valcheta,Valcheta,AR
VDM,Viedma,Viedma,AR
VDR,Villa Dolores,Villa Dolores,AR
VLG,VLG,,AR
VME,Villa Mercedes,Villa Mercedes,AR
USH,Ushuaia,Ushuaia,AR
UZU,Curuzu Cuatia,Curuzu Cuatia,AR
TDL,TDL,,AR
SDE,Vicecomodoro Ángel de la Paz Aragonés,Santiago Del Estero,AR
SFN,Santa Fe Municipal,Santa Fe,AR
RYO,RYO,,AR
RZA,Santa Cruz,Santa Cruz,AR
SLA,Martin Miguel de Guemes Intl,Salta,AR
OVR,Olavarria,Olavarria,AR
OYO,Tres Arroyos,Tres Arroyos,AR
PMY,El Tehuelche,Puerto Madryn,AR
ROS,Rosario – Islas Malvinas Intl,Rosario,AR
ROY,ROY,,AR
RSA,Santa Rosa,Santa Rosa,AR
RGL,Piloto Civil Norberto Fernández Intl,Rio Gallegos,AR
RHD,RHD,,AR
RCU,Las Higueras,Rio Cuarto,AR
RDS,RDS,,AR
REL,Almirante Marcos A. Zar,Trelew,AR
RES,Resistencia,Resistencia,AR
PUD,PUD,,AR
PSS,Libertador General Jose de San Martin,Posadas,AR
MQD,Maquinchao,Maquinchao,AR
NCJ,Sunchales,Sunchales,AR
NEC,NEC,,AR
NQN,Presidente Peron Intl,Neuquen,AR
OES,San Antonio Oeste,San Antonio Oeste,AR
JUJ,Gobernador Horacio Guzmán Intl,Jujuy,AR
JSM,Jose D San Martin,Jose D San Martin,AR
IRJ,La Rioja,La Rioja,AR
JNI,JNI,,AR
IGB,Ingeniero Jacobacci,Ingeniero Jacobacci,AR
LGS,LGS,,AR
LHS,Las Heras,Las Heras,AR
LPG,LPG,,AR
LMD,Los Menucos,Los Menucos,AR
LCP,Loncopue,Loncopue,AR
MDZ,Governor Francisco Gabrielli Intl,Mendoza,AR
MDQ,Astor Piazzolla Intl ,Mar Del Plata,AR
MJR,Miramar,Miramar,AR
MCS,Monte Caseros,Monte Caseros,AR
CSZ,Brigadier Hector Ruiz,Coronel Suarez,AR
CPG,Carmen De Patagones,Carmen De Patagones,AR
CRD,General E. Mosconi Intl,Comodoro Rivadavia,AR
CRR,Ceres,Ceres,AR
CVH,CVH,,AR
CVI,CVI,,AR
COR,Ingeniero Aeronautico Ambrosio L.V. Taravella Intl,Cordoba,AR
CNQ,Doctor Fernando Piragine Niveyro Intl,Corrientes,AR
CNT,CNT,,AR
CLX,Clorinda,Clorinda,AR
EMX,El Maiten,El Maiten,AR
EHL,EHL,,AR
GPO,General Pico,General Pico,AR
GNR,General Roca,General Roca,AR
HOS,Oscar Reguera,Chos Malal,AR
GGS,Gobernador Gregores ,Gobernador Gregores,AR
GHU,GHU,,AR
FTE,Comandante Armando Tola Intl,El Calafate,AR
EQS,Esquel,Esquel,AR
ARR,ARR,,AR
APZ,APZ,,AR
AOL,AOL,,AR
AFA,San Rafael,San Rafael,AR
BHI,Comandante Espora,Bahia Blanca,AR
CCT,CCT,,AR
AEP,Jorge Newbery,Buenos Aires,AR
EZE,Ministro Pistarini Intl,Buenos Aires,AR
BRC,San Carlos de Bariloche Intl,San Carlos de Bariloche,AR
COC,COC,,AR
